Año;mes;NCM;Porg;Pnet(kg);FOB(USD);Flete(USD);Seguro(USD);CIF(USD)
2024;01;04041000;409;20400,000;225600,74;5195,92;2337,39;233134,05
2024;01;04041000;438;177300,000;1211700,00;5436,00;12411,00;1229547,00
2024;01;04051000;225;8192,000;46694,40;1145,32;478,40;48318,12
2024;01;04051000;412;8870,000;99600,12;1293,79;296,61;101190,52
2024;01;04061090;225;24920,400;105825,60;2139,08;1079,66;109044,34
2024;01;04062000;225;20000,000;222310,00;1545,00;952,16;224807,16
2024;01;04063000;225;207327,600;1130856,86;16200,00;11470,56;1158527,42
2024;01;04071100;212;64,410;6480,00;3675,00;101,55;10256,55
2024;01;05040011;221;52700,000;123690,00;850,00;1090,98;125630,98
2024;01;05040013;212;20429,000;294064,00;1850,00;150,00;296064,00
2024;01;05040013;221;24828,000;197723,00;1355,00;485,60;199563,60
2024;01;05040013;410;48010,000;266761,33;3670,16;1105,40;271536,89
2024;01;05040013;417;20800,000;34397,25;480,04;325,09;35202,38
2024;01;05080000;316;45,210;1942,79;2848,73;32,67;4824,19
2024;01;05100090;203;92506,780;146043,26;21374,99;308,61;167726,86
2024;01;05100090;212;0,030;30,35;7,93;0,38;38,66
2024;01;05100090;412;20812,000;80896,85;1662,28;833,93;83393,06
2024;01;05100090;423;23553,500;86465,93;1736,25;890,92;89093,10
2024;01;05111000;212;362,110;450769,53;21767,70;11207,86;483745,09
2024;01;05119190;208;23220,000;32508,00;3990,00;364,98;36862,98
2024;01;05119920;423;2,160;18088,95;1273,87;193,63;19556,45
2024;01;05119920;438;1,000;46930,95;711,33;476,42;48118,70
2024;01;05119999;221;232000,000;67280,00;1200,00;684,80;69164,80
2024;01;05119999;222;350,000;20755,00;903,69;240,00;21898,69
2024;01;05119999;225;280000,000;16800,00;1340,00;181,40;18321,40
2024;01;05119999;319;10,000;975,00;611,35;7,93;1594,28
2024;01;06011000;412;44,960;5648,70;1517,61;71,66;7237,97
2024;01;06011000;423;17950,000;17848,30;3179,56;210,28;21238,14
2024;01;06029089;212;37333,000;520560,00;18000,00;3500,64;542060,64
2024;01;06029089;410;12600,000;89400,00;5280,00;946,80;95626,80
2024;01;06029090;208;25,200;693,00;74,00;3,84;770,84
2024;01;06031100;205;470,000;886,00;1524,31;5,00;2415,31
2024;01;06031100;210;1630,000;4006,00;5356,46;19,01;9381,47
2024;01;06031900;210;100,000;230,00;338,01;0,99;569,00
2024;01;06039000;310;16152,500;48264,00;3000,00;256,32;51520,32
2024;01;07019000;203;278100,000;89525,24;7222,39;967,47;97715,10
2024;01;07031019;200;24000,000;6360,00;1950,00;83,10;8393,10
2024;01;07032090;200;24000,000;36000,00;154,30;361,54;36515,84
2024;01;07032090;203;25000,000;32500,00;3870,00;363,70;36733,70
2024;01;07099911;203;1351,750;41446,00;1570,57;12,90;43029,47
2024;01;07099911;208;1047,610;40962,60;6433,40;14,22;47410,22
2024;01;07099911;212;2195,920;90832,43;10316,40;30,34;101179,17
2024;01;07102100;406;4320,000;5687,27;154,59;9,81;5851,67
2024;01;07102100;410;8640,000;16203,17;2287,90;571,98;19063,05
2024;01;07102900;406;5760,000;7038,40;193,64;12,30;7244,34
2024;01;07102900;410;7680,000;14232,70;2009,67;502,42;16744,79
2024;01;07103000;406;32760,000;33974,67;936,29;59,41;34970,37
2024;01;07103000;410;25574,400;48291,82;6818,83;1704,71;56815,36
2024;01;07104000;406;12960,000;24291,66;660,25;41,90;24993,81
2024;01;07104000;410;6480,000;16123,43;2276,64;569,16;18969,23
2024;01;07108000;210;22500,000;21375,00;4493,00;258,68;26126,68
2024;01;07108000;406;5730,000;7106,01;196,40;12,48;7314,89
2024;01;07108000;410;15120,000;30644,08;4326,96;1081,74;36052,78
2024;01;07108000;425;6600,000;12065,83;334,36;21,20;12421,39
2024;01;07109000;406;3240,000;4199,90;117,54;7,46;4324,90
2024;01;07119000;127;16830,000;50430,22;1207,36;516,38;52153,96
2024;01;07122000;310;56600,000;185806,38;6600,50;103,95;192510,83
2024;01;07122000;315;55664,000;114048,68;5751,29;871,87;120671,84
2024;01;07123100;310;466,000;3906,64;259,57;20,83;4187,04
2024;01;07123900;222;30990,000;161008,50;7800,00;482,35;169290,85
2024;01;07129010;212;421,850;3632,10;105,20;18,69;3755,99
2024;01;07129010;310;25000,000;77416,52;3780,90;285,29;81482,71
2024;01;07129090;113;16,670;471,22;13,65;2,42;487,29
2024;01;07129090;203;17994,700;551138,40;13102,28;31,03;564271,71
2024;01;07129090;208;1149,920;61205,45;830,77;3,41;62039,63
2024;01;07129090;212;3,000;159,25;55,00;0,01;214,26
2024;01;07129090;310;111233,000;265453,61;10848,94;2763,96;279066,51
2024;01;07129090;438;15750,000;92407,84;2208,32;9,47;94625,63
2024;01;07129090;504;14400,000;87974,28;3720,00;9,17;91703,45
2024;01;07133399;203;56200,000;64838,28;8000,00;728,38;73566,66
2024;01;07142000;203;26000,000;8280,42;20,55;83,01;8383,98
2024;01;08011100;312;138500,000;211167,00;22537,36;1418,87;235123,23
2024;01;08011100;316;113700,000;121498,90;17678,00;400,93;139577,83
2024;01;08011200;203;23200,000;16563,01;969,22;175,33;17707,56
2024;01;08013200;203;43817,760;225157,02;4407,87;767,12;230332,01
2024;01;08013200;337;87013,760;279252,54;10825,00;2236,59;292314,13
2024;01;08021200;208;83470,000;508541,10;10324,02;2581,85;521446,97
2024;01;08021200;501;17236,800;126690,48;2400,00;258,18;129348,66
2024;01;08022200;208;12000,000;91500,00;4500,00;192,00;96192,00
2024;01;08022200;417;10500,000;113295,00;1150,00;572,23;115017,23
2024;01;08023200;208;10000,000;27000,00;555,98;137,78;27693,76
2024;01;08025200;200;7200,000;118080,00;1700,00;1197,80;120977,80
2024;01;08031000;202;50000,000;25000,00;324,68;253,24;25577,92
2024;01;08031000;210;282773,150;205718,08;59754,90;3225,42;268698,40
2024;01;08039000;202;12246680,000;3534449,02;1091475,32;46644,50;4672568,84
2024;01;08039000;203;650732,000;213903,97;60362,11;2742,65;277008,73
2024;01;08039000;205;657415,900;347442,60;172582,00;9047,45;529072,05
2024;01;08039000;210;14723720,090;8755333,76;2656077,10;154782,73;11566193,59
2024;01;08039000;221;6900940,000;1882548,00;368722,00;22821,61;2274091,61
2024;01;08041020;310;713,760;2372,00;157,61;12,65;2542,26
2024;01;08041020;331;24000,000;21492,69;1187,31;226,80;22906,80
2024;01;08043000;210;387900,000;207679,50;66766,00;3785,08;278230,58
2024;01;08044000;203;162400,000;232811,15;12695,22;2455,06;247961,43
2024;01;08044000;205;21696,000;33792,00;6713,00;779,62;41284,62
2024;01;08044000;208;770984,900;2264916,40;80000,01;25297,00;2370213,41
2024;01;08044000;218;303125,600;338843,04;120149,00;8720,13;467712,17
2024;01;08051000;113;48000,000;40200,00;7000,00;386,92;47586,92
2024;01;08051000;410;127830,000;160193,81;19138,42;2356,99;181689,22
2024;01;08054000;208;157575,000;154805,00;14950,00;2063,45;171818,45
2024;01;08054000;319;43180,000;61516,00;12000,00;735,16;74251,16
2024;01;08054000;410;79977,000;79133,25;9776,32;677,41;89586,98
2024;01;08055000;200;46875,000;30215,00;6103,31;363,18;36681,49
2024;01;08055000;203;151480,000;83301,85;12203,86;955,06;96460,77
2024;01;08062000;208;50000,000;102500,00;9000,00;223,00;111723,00
2024;01;08062000;318;20000,000;50519,00;781,00;102,60;51402,60
2024;01;08072000;203;19240,000;20288,35;1944,27;222,33;22454,95
2024;01;08104000;208;72810,000;393113,40;15900,00;4657,03;413670,43
2024;01;08105000;413;240973,000;418714,00;49725,43;3783,94;472223,37
2024;01;08105000;417;224910,000;573288,34;26972,30;4615,49;604876,13
2024;01;08112000;127;62800,000;180685,58;14928,26;1975,21;197589,05
2024;01;08112000;208;22999,220;77748,00;2950,00;300,00;80998,00
2024;01;08112000;424;40000,000;117944,32;5600,00;99,03;123643,35
2024;01;08112000;454;180000,000;895741,15;11462,00;4536,00;911739,15
2024;01;08119000;203;15053,280;50762,28;4063,17;548,25;55373,70
2024;01;08119000;222;24000,000;80280,00;6278,00;300,00;86858,00
2024;01;08119000;454;7000,000;20973,79;3528,20;78,16;24580,15
2024;01;08121000;208;13520,000;27040,00;496,00;275,36;27811,36
2024;01;08132010;310;313,500;1428,00;107,31;7,68;1542,99
2024;01;08133000;310;23000,000;82785,00;2700,00;854,85;86339,85
2024;01;08134090;212;97,000;6074,47;425,77;65,00;6565,24
2024;01;08134090;315;500,000;785,00;9,74;1,59;796,33
2024;01;08135000;438;4200,000;39800,89;199,22;444,88;40444,99
2024;01;09011110;120;180,000;1188,00;92,16;11,39;1291,55
2024;01;09011110;161;300,000;2640,00;204,80;25,32;2870,12
2024;01;09011110;203;569723,000;2053827,09;62316,93;20978,76;2137122,78
2024;01;09011110;205;54189,000;258757,96;11162,66;2413,37;272333,99
2024;01;09011110;220;540,000;6807,00;528,05;65,28;7400,33
2024;01;09011110;222;64330,000;376894,02;1970,00;3788,64;382652,66
2024;01;09012100;203;4454,400;111360,00;4193,00;1155,53;116708,53
2024;01;09012100;205;15906,400;236041,66;7458,65;1508,63;245008,94
2024;01;09012100;212;2291,520;36827,68;2466,92;392,95;39687,55
2024;01;09012100;225;5313,000;72846,14;1050,00;738,96;74635,10
2024;01;09012100;417;5207,060;88458,04;2489,09;909,19;91856,32
2024;01;09012100;426;5122,630;68669,87;3832,72;725,35;73227,94
2024;01;09012100;430;44682,960;1921513,42;8158,68;15782,79;1945454,89
2024;01;09012100;438;1204,420;22491,23;1526,42;240,17;24257,82
2024;01;09012200;205;146,880;2319,84;64,36;6,88;2391,08
2024;01;09012200;212;146,970;1914,25;119,60;20,34;2054,19
2024;01;09012200;430;538,560;26428,33;73,97;199,80;26702,10
2024;01;09021000;212;222,810;8777,20;617,58;93,95;9488,73
2024;01;09021000;310;750,000;1600,00;320,41;9,52;1929,93
2024;01;09021000;320;105,000;520,46;37,30;5,60;563,36
2024;01;09022000;310;3000,000;7084,51;637,00;77,41;7798,92
2024;01;09022000;313;1414,260;19582,70;657,32;101,20;20341,22
2024;01;09022000;438;2475,000;16903,06;457,81;114,45;17475,32
2024;01;09023000;310;1350,000;2880,00;576,74;17,14;3473,88
2024;01;09024000;125;51120,000;36295,20;6134,40;424,30;42853,90
2024;01;09024000;307;10000,000;42700,00;3550,00;462,50;46712,50
2024;01;09024000;310;230,000;2362,60;215,36;23,86;2601,82
2024;01;09024000;313;13,440;327,80;11,00;1,69;340,49
2024;01;09024000;315;50,000;353,31;68,16;2,11;423,58
2024;01;09024000;410;200,000;1672,93;8,37;18,70;1700,00
2024;01;09024000;438;6280,000;44794,64;1199,63;306,02;46300,29
2024;01;09030090;203;596718,000;1062151,47;48494,01;11107,23;1121752,71
2024;01;09041100;203;117000,000;500937,00;5772,78;4503,65;511213,43
2024;01;09041200;218;0,300;1,00;5,50;0,02;6,52
2024;01;09042200;218;25,000;147,00;1,57;0,36;148,93
2024;01;09042200;222;24000,000;85200,00;2783,00;880,00;88863,00
2024;01;09042200;310;181177,460;410551,49;13610,75;3628,56;427790,80
2024;01;09042200;410;9790,000;39695,38;1041,48;81,48;40818,34
2024;01;09061100;310;1000,000;6003,17;193,32;61,96;6258,45
2024;01;09062000;310;27000,000;45191,25;3600,00;146,37;48937,62
2024;01;09072000;316;175,540;3886,86;112,58;20,00;4019,44
2024;01;09081200;316;25000,000;135850,00;2400,00;414,75;138664,75
2024;01;09093200;315;5,000;25,15;0,35;0,06;25,56
2024;01;09096190;315;1980,000;4724,60;58,64;9,57;4792,81
2024;01;09096190;401;225,000;2340,00;146,35;18,15;2504,50
2024;01;09101100;203;64099,200;81925,58;12117,82;940,43;94983,83
2024;01;09102000;410;37,000;51099,91;922,15;457,02;52479,08
2024;01;09103000;222;20000,000;48000,00;2610,00;506,10;51116,10
2024;01;09103000;315;54060,000;124050,00;2687,89;474,34;127212,23
2024;01;09109900;315;3000,000;3990,00;49,53;8,08;4047,61
2024;01;10019100;203;120,920;120,92;1107,07;6,14;1234,13
2024;01;10051000;203;366,300;778,94;1880,50;3,40;2662,84
2024;01;10051000;208;44,320;175,07;73,32;0,12;248,51
2024;01;10051000;212;174478,540;2387430,54;21441,18;1045,30;2409917,02
2024;01;10062010;310;1400,000;2023,88;29,93;142,77;2196,58
2024;01;10062020;221;1284500,000;821677,50;78452,50;1896,24;902026,24
2024;01;10085090;222;26000,000;51532,00;1225,00;68,00;52825,00
2024;01;10089090;222;16000,000;27152,00;864,00;84,05;28100,05
2024;01;11010010;200;28000,000;9800,00;1600,00;114,00;11514,00
2024;01;11010010;406;9700,000;65647,96;1092,55;33,40;66773,91
2024;01;11022000;205;144000,000;101796,00;7500,00;1092,96;110388,96
2024;01;11022000;212;190512,000;190604,00;27851,60;1092,28;219547,88
2024;01;11029000;208;68000,000;46470,00;9970,00;696,60;57136,60
2024;01;11029000;310;3000,000;2555,42;193,08;23,16;2771,66
2024;01;11029000;429;3,000;34,04;75,00;0,25;109,29
2024;01;11041200;208;84800,000;58566,00;11220,00;601,81;70387,81
2024;01;11052000;406;39000,000;122715,96;876,40;390,00;123982,36
2024;01;11052000;423;36725,000;122632,12;870,24;390,00;123892,36
2024;01;11063000;208;26840,000;21622,30;2400,00;240,22;24262,52
2024;01;11063000;212;7920,000;40075,20;2296,80;423,72;42795,72
2024;01;11071010;438;7500,000;13515,57;67202,14;807,18;81524,89
2024;01;11072010;426;50000,000;37381,34;3204,90;405,88;40992,12
2024;01;11072010;440;750,000;1496,86;42,50;0,77;1540,13
2024;01;11081200;203;100120,200;90054,40;14435,16;1043,27;105532,83
2024;01;11081300;423;145000,000;164756,22;19400,00;747,78;184904,00
2024;01;11081300;424;37000,000;36889,00;2183,00;148,00;39220,00
2024;01;11081400;203;55177,280;49506,92;11785,41;333,15;61625,48
2024;01;11081400;221;217850,000;164081,11;11687,92;1626,90;177395,93
2024;01;11081900;320;40,000;141,62;10,15;1,52;153,29
2024;01;11081900;406;750,000;1409,44;40,65;14,54;1464,63
2024;01;11082000;208;50900,000;133584,75;7200,00;1488,81;142273,56
2024;01;11090000;417;125000,000;199089,82;3931,54;1990,90;205012,26
2024;01;11090000;423;210,000;8855,07;158,95;31,30;9045,32
2024;01;12011000;212;35661,500;63714,96;5505,00;688,72;69908,68
2024;01;12019000;203;13416750,000;6516246,65;529650,00;45679,38;7091576,03
2024;01;12019000;221;116381475,000;53639305,35;3147693,29;34465,21;56821463,85
2024;01;12024200;203;110000,000;154678,66;12000,00;521,33;167199,99
2024;01;12024200;221;412500,000;538312,50;34650,00;2521,05;575483,55
2024;01;12073010;203;100,000;1568,00;238,80;9,03;1815,83
2024;01;12075090;204;80000,000;199710,07;7835,16;572,86;208118,09
2024;01;12077010;309;1,000;1350,00;58,99;14,09;1423,08
2024;01;12077010;335;81,450;110764,02;805,00;23,32;111592,34
2024;01;12079910;310;3625,000;18306,25;1108,04;194,14;19608,43
2024;01;12079910;313;1,370;4833,24;173,92;6,38;5013,54
2024;01;12079910;412;300,000;1824,00;110,40;19,34;1953,74
2024;01;12079910;414;51,000;255,00;15,43;2,70;273,13
2024;01;12079910;424;7300,000;19266,00;1166,13;204,32;20636,45
2024;01;12079990;208;630410,000;105274,53;14404,87;98,50;119777,90
2024;01;12091000;412;2,300;25,00;98,54;0,05;123,59
2024;01;12092100;204;20000,000;136001,50;3557,00;241,50;139800,00
2024;01;12092100;212;74678,000;708783,38;15550,00;3034,00;727367,38
2024;01;12092100;501;58696,000;474693,33;10559,19;758,90;486011,42
2024;01;12092300;225;43820,000;197970,20;2340,00;169,81;200480,01
2024;01;12092300;409;75970,000;256912,78;1621,00;1057,84;259591,62
2024;01;12092900;159;5000,000;34200,00;3137,00;149,38;37486,38
2024;01;12092900;212;7500,000;66450,00;657,00;317,00;67424,00
2024;01;12093000;213;0,070;1725,00;4,02;8,65;1737,67
2024;01;12093000;310;15,220;6021,39;100,95;30,62;6152,96
2024;01;12093000;315;1,200;333,33;35,01;1,84;370,18
2024;01;12093000;409;5,000;213,23;22,40;1,17;236,80
2024;01;12093000;412;13,000;1775,45;186,49;9,81;1971,75
2024;01;12093000;417;8,000;674,50;70,84;3,73;749,07
2024;01;12093000;423;21,690;15812,34;163,87;79,88;16056,09
2024;01;12093000;438;8,520;22296,46;276,55;44,01;22617,02
2024;01;12099100;120;0,620;38118,56;308,30;11,53;38438,39
2024;01;12099100;127;3,810;54410,40;179,83;16,38;54606,61
2024;01;12099100;139;0,080;742,24;4,78;16,33;763,35
2024;01;12099100;159;57,610;35247,03;368,35;8,72;35624,10
2024;01;12099100;200;1532,940;298729,37;8149,69;50,91;306929,97
2024;01;12099100;203;1027,780;133624,80;962,97;226,88;134814,65
2024;01;12099100;208;872,170;643099,64;8151,60;659,76;651911,00
2024;01;12099100;212;3216,710;488521,74;15727,25;1063,21;505312,20
2024;01;12099100;213;4,880;265351,77;955,80;360,79;266668,36
2024;01;12099100;218;20,960;136017,07;3234,29;1490,47;140741,83
2024;01;12099100;222;107,900;1101796,16;4585,56;946,41;1107328,13
2024;01;12099100;309;20,000;9880,00;431,69;103,12;10414,81
2024;01;12099100;310;1158,430;279110,62;1342,75;1138,37;281591,74
2024;01;12099100;315;39,280;456287,19;4415,21;362,04;461064,44
2024;01;12099100;320;1,100;1898,00;13,36;3,24;1914,60
2024;01;12099100;335;21,750;197991,15;2867,71;238,55;201097,41
2024;01;12099100;409;6944,500;94750,00;11550,28;324,04;106624,32
2024;01;12099100;410;7,900;127349,34;157,69;258,55;127765,58
2024;01;12099100;412;680,650;179054,58;4924,33;162,41;184141,32
2024;01;12099100;417;15642,730;58664,28;1483,23;587,34;60734,85
2024;01;12099100;423;44,860;56212,47;375,42;1230,80;57818,69
2024;01;12099100;436;2,810;38166,40;1304,60;394,71;39865,71
2024;01;12099100;501;455,170;13195,15;1192,38;153,41;14540,94
2024;01;12099100;504;126,250;30030,40;430,02;163,76;30624,18
2024;01;12099900;203;252,500;58875,00;420,86;99,97;59395,83
2024;01;12099900;208;1,100;5,63;22,21;0,05;27,89
2024;01;12099900;222;1,140;874,05;8,45;0,05;882,55
2024;01;12099900;310;95,810;17505,00;943,28;5,54;18453,82
2024;01;12099900;315;46,430;25810,20;570,57;215,77;26596,54
2024;01;12099900;335;200,900;89933,07;1439,52;5,44;91378,03
2024;01;12101000;424;10,000;103,27;19,93;0,62;123,82
2024;01;12102010;212;78000,000;1198583,06;35733,20;12343,16;1246659,42
2024;01;12119010;222;92000,000;204232,69;14450,30;2187,19;220870,18
2024;01;12119090;113;14480,290;19216,30;1253,45;67,05;20536,80
2024;01;12119090;127;50,000;1330,00;83,18;10,32;1423,50
2024;01;12119090;208;97730,000;389017,00;6510,52;3955,40;399482,92
2024;01;12119090;210;15000,000;38250,00;3950,00;168,80;42368,80
2024;01;12119090;212;10063,500;38389,11;3649,13;300,81;42339,05
2024;01;12119090;221;55080,000;117611,20;6540,00;930,67;125081,87
2024;01;12119090;222;4800,000;14385,31;782,70;151,84;15319,85
2024;01;12119090;310;1097,000;15995,90;180,40;172,84;16349,14
2024;01;12119090;315;8980,000;81141,50;1007,12;164,29;82312,91
2024;01;12119090;318;63,000;1995,21;124,78;15,48;2135,47
2024;01;12119090;332;160,000;2188,80;136,89;16,98;2342,67
2024;01;12119090;401;120,000;2226,00;139,22;17,27;2382,49
2024;01;12119090;410;194,750;3400,58;117,10;18,94;3536,62
2024;01;12119090;424;50,000;514,50;32,18;3,99;550,67
2024;01;12119090;438;690,000;6844,94;113,68;60,66;7019,28
2024;01;12122900;312;25000,000;221337,00;3663,00;2250,00;227250,00
2024;01;12122900;415;24000,000;13128,00;1922,97;152,01;15202,98
2024;01;12129200;410;12500,000;18521,50;815,93;77,35;19414,78
2024;01;13012000;212;22,680;277,79;300,00;0,02;577,81
2024;01;13012000;412;53010,000;237794,45;8406,09;1301,47;247502,01
2024;01;13012000;417;59620,000;216191,58;9284,74;2174,27;227650,59
2024;01;13019010;410;3000,000;75696,69;2534,37;782,23;79013,29
2024;01;13019090;136;27000,000;425925,77;1458,35;1676,43;429060,55
2024;01;13019090;203;15,000;607,23;19,18;6,26;632,67
2024;01;13019090;211;171,000;7865,61;700,11;41,43;8607,15
2024;01;13019090;212;25,000;2415,00;55,00;24,70;2494,70
2024;01;13019090;316;25,000;425,00;10,62;4,33;439,95
2024;01;13021200;318;700,000;7229,21;1394,78;43,13;8667,12
2024;01;13021300;212;1920,000;57670,00;488,99;46,53;58205,52
2024;01;13021930;412;130,000;40556,32;2112,31;426,68;43095,31
2024;01;13021950;417;260,030;61183,24;1168,21;584,43;62935,88
2024;01;13021960;310;1500,000;53100,00;220,08;533,20;53853,28
2024;01;13021960;410;600,000;69653,00;2524,78;47,00;72224,78
2024;01;13021991;501;200,000;42594,00;3327,51;119,38;46040,89
2024;01;13021999;159;81300,000;461050,00;16562,44;1966,04;479578,48
2024;01;13021999;203;4099,400;38108,15;7042,24;138,48;45288,87
2024;01;13021999;208;406,500;133950,60;1098,34;1315,63;136364,57
2024;01;13021999;212;284,650;26857,72;655,91;216,16;27729,79
2024;01;13021999;218;780,000;21090,50;5550,56;208,02;26849,08
2024;01;13021999;310;106,100;9980,90;289,62;29,16;10299,68
2024;01;13021999;315;200,000;23012,00;3250,00;157,57;26419,57
2024;01;13021999;410;81,000;2765,67;193,52;4,86;2964,05
2024;01;13021999;412;195,000;11744,29;716,13;21,20;12481,62
2024;01;13021999;417;100,570;15156,93;501,46;128,44;15786,83
2024;01;13021999;423;987,000;40326,60;547,94;98,05;40972,59
2024;01;13021999;426;600,000;15593,97;512,22;161,06;16267,25
2024;01;13021999;430;150,000;3540,00;49,28;8,61;3597,89
2024;01;13021999;438;1425,000;89452,52;832,43;27,00;90311,95
2024;01;13022010;212;2,000;15,22;4,43;0,20;19,85
2024;01;13022010;218;13100,000;117356,00;1652,20;34,65;119042,85
2024;01;13022010;280;440,950;8448,12;61,99;13,57;8523,68
2024;01;13022010;310;25,000;153,08;54,86;2,08;210,02
2024;01;13022010;409;19250,000;228159,35;3469,54;189,00;231817,89
2024;01;13022010;410;105,000;3320,71;59,61;11,74;3392,06
2024;01;13022010;412;50,000;1414,62;40,18;0,72;1455,52
2024;01;13022010;417;22000,000;416420,00;1563,61;2640,98;420624,59
2024;01;13022010;438;1420,000;28330,50;355,08;267,80;28953,38
2024;01;13023100;310;4975,000;83399,50;557,50;149,25;84106,25
2024;01;13023100;417;125,000;3682,54;66,10;13,01;3761,65
2024;01;13023211;410;700,000;33789,00;254,43;9,19;34052,62
2024;01;13023219;410;25,000;2178,65;142,02;23,19;2343,86
2024;01;13023220;212;450,000;6303,50;184,00;64,88;6552,38
2024;01;13023220;310;175,000;2695,23;75,84;14,58;2785,65
2024;01;13023220;315;160000,000;309105,00;12433,88;2252,33;323791,21
2024;01;13023220;412;1600,000;42511,00;481,00;429,92;43421,92
2024;01;13023220;417;5250,000;36379,91;317,59;3,67;36701,17
2024;01;13023910;208;7300,000;121725,00;2770,00;425,25;124920,25
2024;01;13023910;310;13000,000;161363,21;2662,25;1640,26;165665,72
2024;01;13023910;312;5000,000;57350,00;1359,55;229,40;58938,95
2024;01;13023910;410;11825,000;135891,65;470,34;698,13;137060,12
2024;01;13023910;415;6000,000;50730,85;4197,16;11,00;54939,01
2024;01;13023990;203;5,700;347,01;33,82;0,41;381,24
2024;01;13023990;222;15000,000;106750,00;4950,00;535,56;112235,56
2024;01;13023990;310;5500,000;276325,00;1194,60;808,97;278328,57
2024;01;13023990;312;2000,000;28000,00;663,78;112,00;28775,78
2024;01;13023990;438;8000,000;74671,59;737,68;99,92;75509,19
2024;01;14012000;333;1004,000;10000,00;124,60;20,40;10145,00
2024;01;14019000;412;6295,390;105689,66;5777,83;18,27;111485,76
2024;01;14049010;218;2000,000;16470,00;940,00;65,00;17475,00
2024;01;14049090;222;9980,000;33932,00;2150,00;360,82;36442,82
2024;01;14049090;315;24000,000;4136,00;1030,00;18,00;5184,00
2024;01;14049090;417;400,000;1647,32;302,00;19,12;1968,44
2024;01;15050010;203;1080,000;17442,00;78,25;175,20;17695,45
2024;01;15060000;212;126,000;13910,60;1190,24;151,00;15251,84
2024;01;15079019;423;1520,000;7245,76;64,21;7,57;7317,54
2024;01;15089000;212;0,230;37,96;1,62;0,23;39,81
2024;01;15092000;200;25200,000;176400,00;2400,00;894,00;179694,00
2024;01;15092000;203;1,000;12,65;0,40;0,00;13,05
2024;01;15092000;212;10,000;60,50;544,26;1,45;606,21
2024;01;15119000;203;51840,000;82943,52;11100,00;940,44;94983,96
2024;01;15119000;222;151810,000;153647,03;8670,20;119,36;162436,59
2024;01;15119000;316;700,000;2677,40;118,12;0,09;2795,61
2024;01;15119000;326;215688,000;337675,75;23315,00;2699,83;363690,58
2024;01;15119000;333;18000,000;52740,00;2135,00;23,60;54898,60
2024;01;15121919;426;73,600;4157,27;541,60;0,24;4699,11
2024;01;15122910;218;1472,000;7136,16;3,04;0,39;7139,59
2024;01;15131100;412;100,000;3021,41;833,69;38,55;3893,65
2024;01;15131900;316;92036,000;144682,07;13228,00;288,57;158198,64
2024;01;15131900;326;15200,000;30263,20;6250,00;365,13;36878,33
2024;01;15131900;423;15200,000;46664,00;3040,00;497,04;50201,04
2024;01;15132919;203;48256,000;80290,24;9000,00;203,94;89494,18
2024;01;15132919;205;253526,000;293101,38;6800,00;305,98;300207,36
2024;01;15132919;210;67417,000;99652,62;8074,00;311,76;108038,38
2024;01;15132919;222;307410,000;327830,89;17340,40;246,21;345417,50
